Sensor,Scheme,F1_score
ASD,genus,0.791
ASD,kelp_det,0.884
ASD,bo,0.8947
ASD,bam,0.7449
ASD,kbam,0.8585
ASD,brgm,0.8087
ASD,kbrgm,0.8287
ASD,kelps-loc,0.8386
ASD,browns-loc,0.677
enmap,genus,0.80344
enmap,kelp_det,0.8739
enmap,bo,0.9416
enmap,bam,0.788
enmap,kbam,0.8727
enmap,brgm,0.8079
enmap,kbrgm,0.8376
enmap,kelps-loc,0.857
enmap,browns-loc,0.6339
Sentinel,genus,0.7151
Sentinel,kelp_det,0.8726
Sentinel,bo,0.8891
Sentinel,bam,0.7256
Sentinel,kbam,0.8296
Sentinel,brgm,0.7438
Sentinel,kbrgm,0.7889
Sentinel,kelps-loc,0.8086
Sentinel,browns-loc,0.6612
PSD,genus,0.7141
PSD,kelp_det,0.8602
PSD,bo,0.9523
PSD,bam,0.776
PSD,kbam,0.9008
PSD,brgm,0.8394
PSD,kbrgm,0.8644
PSD,kelps-loc,0.713
PSD,browns-loc,0.6362
Landsat,genus,0.599
Landsat,kelp_det,0.7838
Landsat,bo,0.9344
Landsat,bam,0.7493
Landsat,kbam,0.8715
Landsat,brgm,0.8232
Landsat,kbrgm,0.8848
Landsat,kelps-loc,0.7828
Landsat,browns-loc,0.6273
Skysat,genus,0.6873
Skysat,kelp_det,0.8851
Skysat,bo,0.9537
Skysat,bam,0.7737
Skysat,kbam,0.8464
Skysat,brgm,0.8498
Skysat,kbrgm,0.8094
Skysat,kelps-loc,0.7637
Skysat,browns-loc,0.6025
