Class,ko,kom,bom,kbrgm
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
phyllospora,non_kelp,other,brown_algae,other_brown_alg
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
sand,non_kelp,mineral,mineral,mineral
sand,non_kelp,mineral,mineral,mineral
sand,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
