,0,1,2
0,0.0,0.0,1.0
1,0.49,0.48,0.03
2,0.51,0.47,0.02
3,0.08,0.89,0.03
4,0.52,0.48,0.0
5,0.46,0.46,0.08
6,0.37,0.41,0.22
7,0.0,0.0,1.0
8,0.39,0.56,0.05
9,0.07,0.13,0.8
10,0.0,0.0,1.0
11,0.14,0.85,0.01
12,0.0,0.0,1.0
13,0.49,0.4,0.11
14,0.51,0.49,0.0
15,0.5,0.5,0.0
16,0.51,0.49,0.0
17,0.64,0.32,0.04
18,0.0,0.0,1.0
19,0.0,0.01,0.99
20,0.0,0.0,1.0
21,0.0,0.0,1.0
22,0.48,0.4,0.12
23,0.0,0.0,1.0
24,0.05,0.08,0.87
25,0.15,0.32,0.53
26,0.38,0.4,0.22
27,0.15,0.8,0.05
28,0.08,0.91,0.01
29,0.0,0.0,1.0
30,0.23,0.69,0.08
31,0.24,0.18,0.58
32,0.0,0.0,1.0
33,0.22,0.75,0.03
34,0.0,0.0,1.0
35,0.1,0.9,0.0
36,0.14,0.85,0.01
37,0.01,0.04,0.95
38,0.34,0.44,0.22
39,0.0,0.0,1.0
40,0.47,0.49,0.04
41,0.0,0.0,1.0
42,0.1,0.04,0.86
43,0.52,0.39,0.09
44,0.0,0.0,1.0
45,0.33,0.58,0.09
46,0.0,0.0,1.0
47,0.0,0.0,1.0
48,0.43,0.43,0.14
49,0.65,0.35,0.0
50,0.03,0.06,0.91
51,0.07,0.91,0.02
52,0.2,0.79,0.01
53,0.33,0.67,0.0
54,0.24,0.62,0.14
55,0.0,0.0,1.0
56,0.0,0.0,1.0
57,0.0,0.0,1.0
58,0.24,0.74,0.02
59,0.16,0.12,0.72
60,0.0,0.0,1.0
61,0.0,0.0,1.0
62,0.0,0.0,1.0
63,0.04,0.95,0.01
64,0.18,0.19,0.63
65,0.0,0.0,1.0
66,0.13,0.87,0.0
67,0.08,0.17,0.75
68,0.63,0.36,0.01
69,0.0,0.0,1.0
70,0.11,0.89,0.0
71,0.0,0.0,1.0
72,0.0,0.0,1.0
73,0.58,0.42,0.0
74,0.07,0.87,0.06
75,0.46,0.36,0.18
76,0.58,0.42,0.0
77,0.64,0.36,0.0
78,0.25,0.52,0.23
79,0.11,0.04,0.85
80,0.21,0.08,0.71
81,0.25,0.74,0.01
82,0.44,0.37,0.19
83,0.0,0.0,1.0
84,0.15,0.1,0.75
85,0.04,0.95,0.01
86,0.0,0.0,1.0
87,0.75,0.25,0.0
88,0.67,0.29,0.04
89,0.0,0.0,1.0
90,0.0,0.0,1.0
91,0.11,0.76,0.13
92,0.0,0.0,1.0
93,0.17,0.83,0.0
94,0.0,0.0,1.0
95,0.0,0.0,1.0
96,0.0,0.0,1.0
97,0.0,0.0,1.0
98,0.0,0.0,1.0
99,0.0,0.0,1.0
100,0.22,0.2,0.58
101,0.21,0.79,0.0
102,0.08,0.04,0.88
103,0.17,0.51,0.32
104,0.18,0.82,0.0
105,0.58,0.42,0.0
106,0.03,0.01,0.96
107,0.23,0.14,0.63
108,0.6,0.4,0.0
109,0.52,0.38,0.1
110,0.0,0.0,1.0
111,0.46,0.32,0.22
112,0.61,0.38,0.01
113,0.1,0.06,0.84
114,0.11,0.86,0.03
115,0.0,0.0,1.0
116,0.46,0.45,0.09
117,0.0,0.0,1.0
118,0.53,0.33,0.14
119,0.0,0.0,1.0
120,0.14,0.85,0.01
121,0.0,0.0,1.0
122,0.12,0.87,0.01
123,0.0,0.0,1.0
124,0.11,0.8,0.09
125,0.0,0.0,1.0
126,0.0,0.0,1.0
127,0.15,0.12,0.73
128,0.0,0.0,1.0
129,0.2,0.79,0.01
130,0.51,0.49,0.0
131,0.53,0.47,0.0
132,0.0,0.0,1.0
133,0.1,0.4,0.5
134,0.0,0.0,1.0
135,0.65,0.35,0.0
136,0.0,0.0,1.0
137,0.65,0.26,0.09
138,0.34,0.58,0.08
139,0.23,0.71,0.06
140,0.14,0.07,0.79
141,0.53,0.33,0.14
142,0.48,0.52,0.0
143,0.0,0.0,1.0
144,0.47,0.39,0.14
145,0.16,0.68,0.16
146,0.24,0.76,0.0
147,0.03,0.96,0.01
148,0.64,0.36,0.0
149,0.14,0.86,0.0
150,0.13,0.85,0.02
151,0.33,0.59,0.08
152,0.04,0.09,0.87
153,0.54,0.4,0.06
154,0.23,0.61,0.16
155,0.0,0.0,1.0
156,0.14,0.12,0.74
157,0.08,0.92,0.0
158,0.0,0.0,1.0
159,0.63,0.31,0.06
160,0.19,0.34,0.47
161,0.41,0.43,0.16
162,0.0,0.0,1.0
163,0.08,0.04,0.88
164,0.3,0.66,0.04
165,0.27,0.39,0.34
166,0.0,0.0,1.0
167,0.59,0.41,0.0
168,0.07,0.93,0.0
169,0.21,0.78,0.01
170,0.18,0.69,0.13
171,0.0,0.0,1.0
172,0.64,0.35,0.01
173,0.39,0.5,0.11
174,0.0,0.0,1.0
175,0.41,0.59,0.0
176,0.6,0.4,0.0
177,0.19,0.7,0.11
178,0.76,0.24,0.0
179,0.33,0.58,0.09
180,0.05,0.94,0.01
181,0.24,0.75,0.01
182,0.12,0.72,0.16
183,0.0,0.0,1.0
184,0.0,0.0,1.0
185,0.58,0.4,0.02
186,0.01,0.0,0.99
187,0.0,0.0,1.0
188,0.27,0.11,0.62
189,0.12,0.88,0.0
190,0.17,0.29,0.54
191,0.18,0.82,0.0
192,0.0,0.0,1.0
193,0.22,0.78,0.0
194,0.0,0.0,1.0
195,0.0,0.0,1.0
196,0.0,0.0,1.0
197,0.77,0.23,0.0
198,0.0,0.0,1.0
199,0.2,0.8,0.0
200,0.49,0.32,0.19
201,0.39,0.37,0.24
202,0.07,0.86,0.07
203,0.19,0.37,0.44
204,0.11,0.06,0.83
205,0.09,0.88,0.03
206,0.49,0.31,0.2
207,0.16,0.84,0.0
208,0.19,0.25,0.56
209,0.0,0.0,1.0
210,0.04,0.06,0.9
211,0.01,0.0,0.99
212,0.0,0.0,1.0
213,0.04,0.96,0.0
214,0.16,0.79,0.05
215,0.0,0.0,1.0
216,0.15,0.83,0.02
217,0.68,0.29,0.03
218,0.66,0.28,0.06
