,,brown_algae,red_veg,green_veg,mineral,water
test,R2,0.8329710816667182,0.8315923599019807,0.9121674671184244,0.9210584418529069,0.9824426828480599
test,MSE,0.012555528444148426,0.011194937044410911,0.006386547259410267,0.005617817152302817,0.001723501813372153
test,RMSE,0.11205145444905401,0.10580612952192756,0.0799158761411665,0.07495209905201333,0.04151507934922145
test,MAE,0.07519080386921242,0.06966246224991417,0.05499174991496568,0.04680016630608631,0.03023973821925744
test,MAPE,320.94754178984607,316.8616334926998,292.69030217049186,899.4107123583856,565.3381444621114
train,R2,0.8630866105548214,0.8512384899745834,0.9158217531786317,0.9309006110926135,0.9841421723088813
train,MSE,0.009792932781357903,0.010320790771709344,0.005864942528419825,0.0049349182318178435,0.001536752960206172
train,RMSE,0.09895924808403661,0.10159129279475354,0.07658291277053796,0.07024897317269373,0.03920144079247818
train,MAE,0.06669731556317844,0.06581286406763708,0.05210954327414323,0.04418620671361661,0.027888867374809164
train,MAPE,320.94754178984607,316.8616334926998,292.69030217049186,899.4107123583856,565.3381444621114
cv,R2,0.8271035847923496,0.8060308038847239,0.8921918913332991,0.9019889520798168,0.9713834396670326
cv,MSE,0.012324282779559634,0.013457995163070492,0.0075064153302419594,0.0069961747662117685,0.0027708150514929803
cv,RMSE,0.11096564128815296,0.115912047302356,0.08658893118767136,0.08359740667366192,0.05260356916857145
cv,MAE,0.0746701317329995,0.07867205453148239,0.060244872496441094,0.051194839349163565,0.04118896598177696
cv,MAPE,567.9517116837726,472.45883973791535,25367.403896202417,383.3186938733529,1036.624470435206
