Wavelength,Coastal Aerosol,Blue,Green,Red,NIR,Pan,Cirrus,SWIR1,SWIR2
350,4.49465E-09,8.51706E-09,1.87397E-08,2.85983E-08,1.87083E-09,1.52556E-08,0.000E+00,0.000E+00,0.000E+00
351,-1.23685E-09,1.11606E-08,2.78712E-09,3.28886E-08,8.76671E-09,1.49011E-08,0.000E+00,0.000E+00,0.000E+00
352,2.32981E-09,1.2104E-08,3.72103E-08,1.16481E-08,4.05762E-10,9.6738E-09,0.000E+00,0.000E+00,0.000E+00
353,5.42447E-09,9.25068E-09,4.28845E-08,1.00561E-08,3.4279E-09,5.55942E-09,0.000E+00,0.000E+00,0.000E+00
354,3.82009E-09,6.86046E-09,1.14855E-08,-2.54156E-09,-6.65871E-10,5.31393E-09,0.000E+00,0.000E+00,0.000E+00
355,-7.60486E-11,3.4052E-09,4.86218E-09,2.43746E-09,1.3729E-09,4.67012E-09,0.000E+00,0.000E+00,0.000E+00
356,6.19045E-09,1.77658E-09,6.59124E-09,3.58002E-09,2.49237E-09,4.05596E-09,0.000E+00,0.000E+00,0.000E+00
357,2.46184E-09,5.03305E-09,9.51463E-09,2.34257E-10,-2.46298E-09,3.82956E-09,0.000E+00,0.000E+00,0.000E+00
358,-1.40101E-10,1.93776E-09,3.1618E-09,5.01348E-10,-1.66664E-09,4.1643E-09,0.000E+00,0.000E+00,0.000E+00
359,1.37399E-09,2.88416E-09,-7.15723E-11,-5.62529E-10,1.93764E-10,4.65063E-09,0.000E+00,0.000E+00,0.000E+00
360,-1.9495E-09,7.72759E-09,1.43689E-09,5.22462E-10,-2.81713E-09,1.09764E-08,0.000E+00,0.000E+00,0.000E+00
361,6.74535E-09,6.98971E-09,4.69169E-09,4.22761E-10,-2.60808E-10,3.52881E-08,0.000E+00,0.000E+00,0.000E+00
362,-4.61928E-09,1.12089E-08,3.62074E-09,1.48043E-09,3.89983E-11,3.07644E-08,0.000E+00,0.000E+00,0.000E+00
363,4.48432E-09,1.42136E-08,5.95681E-09,9.24735E-09,5.17613E-09,1.79982E-08,0.000E+00,0.000E+00,0.000E+00
364,7.58879E-09,6.72684E-09,5.01778E-09,4.63628E-10,4.36928E-09,1.58932E-08,0.000E+00,0.000E+00,0.000E+00
365,8.88586E-09,1.24093E-08,1.77627E-09,1.76874E-09,-1.03302E-09,1.69151E-08,0.000E+00,0.000E+00,0.000E+00
366,6.1677E-09,8.4487E-09,1.16206E-08,8.17463E-09,6.58078E-09,1.08149E-08,0.000E+00,0.000E+00,0.000E+00
367,3.9196E-09,6.58275E-09,9.03512E-09,6.57549E-09,-4.16904E-09,5.42812E-09,0.000E+00,0.000E+00,0.000E+00
368,-7.60201E-10,3.30804E-09,4.01702E-09,1.70079E-09,1.75081E-08,3.35196E-09,0.000E+00,0.000E+00,0.000E+00
369,1.34351E-09,9.87392E-10,1.80905E-09,6.20991E-10,4.3939E-08,8.70089E-10,0.000E+00,0.000E+00,0.000E+00
370,8.91247E-10,4.7333E-10,1.9133E-09,1.41243E-10,3.21296E-08,8.93945E-11,0.000E+00,0.000E+00,0.000E+00
371,1.74392E-10,3.92038E-10,2.16901E-09,1.59145E-10,2.46229E-08,6.62867E-11,0.000E+00,0.000E+00,0.000E+00
372,9.48124E-11,2.34889E-10,1.55743E-09,3.1862E-11,2.52081E-08,1.35834E-10,0.000E+00,0.000E+00,0.000E+00
373,1.68642E-10,1.19571E-10,8.93467E-10,-2.533E-11,1.24148E-08,1.46982E-10,0.000E+00,0.000E+00,0.000E+00
374,3.68036E-11,1.2088E-10,3.20361E-10,2.23935E-12,-1.24739E-11,5.81508E-11,0.000E+00,0.000E+00,0.000E+00
375,5.07222E-11,3.91547E-10,1.30738E-10,9.8343E-12,3.66856E-09,5.5031E-11,0.000E+00,0.000E+00,0.000E+00
376,9.37394E-12,8.98828E-10,6.9788E-11,3.52073E-11,3.2068E-09,4.77955E-11,0.000E+00,0.000E+00,0.000E+00
