SR_WL,S2A_SR_AV_B1,S2A_SR_AV_B2,S2A_SR_AV_B3,S2A_SR_AV_B4,S2A_SR_AV_B5,S2A_SR_AV_B6,S2A_SR_AV_B7,S2A_SR_AV_B8,S2A_SR_AV_B8A,S2A_SR_AV_B9,S2A_SR_AV_B10,S2A_SR_AV_B11,S2A_SR_AV_B12,,,,,,,,
300,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
301,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
302,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
303,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
304,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
305,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
306,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
307,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
308,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
309,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
310,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
311,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
312,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
313,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
314,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
315,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
316,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
317,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
318,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
319,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
320,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
321,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
322,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
323,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
324,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
325,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
326,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
327,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
328,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
329,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
330,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
331,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
332,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
333,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
334,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
